product_name,image_link,rating,price,number_of_ratings,product_link,price_before_discount,brand,operating_system,RAM,CPU,storage,screen_size,cellular_technology,model_name,cpu_model,available_colors
"SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Yellow",https://m.media-amazon.com/images/I/41x3MowflIL._AC_UL320_.jpg,4.0 out of 5 stars,"1,030.90",1,/SAMSUNG-Physical-Smartphone-Factory-Unlocked/dp/B0CV7K2Z25/ref=sr_1_734?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-734,,SAMSUNG,Android,12 GB,,12 GB,6.8,5G,,,
"NUU B20 Cell Phone, 5G, Compatible with T-Mobile, AT&T, Cricket Phones, 6.5” FHD + Display, 8GB + 128GB, 48MP Triple Camera, Mint Mobile, Dual SIM, Daydream Purple, US Warranty (Daydream Purple)",https://m.media-amazon.com/images/I/81olbaSD+4L._AC_UL320_.jpg,3.3 out of 5 stars,134.99,291,/NUU-Unlocked-Android-Smartphone-Daydream/dp/B0BN7BZ999/ref=sr_1_735?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-735,,NUU,Android 12.0,8 GB,,128 GB,6.5 Inches,5G,B Series,,"Daydream Purple, Stardust Blue"
Samsung Galaxy A51 A515F 128GB DUOS GSM Unlocked Phone w/Quad Camera 48 MP + 12 MP + 5 MP + 5 MP (International Variant/US Compatible LTE) - Prism Crush Black,https://m.media-amazon.com/images/I/61pwpYcjYlL._AC_UL320_.jpg,4.2 out of 5 stars,279.99,"4,647",/SAMSUNG-Galaxy-A51-International-Compatible/dp/B082YG1L4B/ref=sr_1_739?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-739,,SAMSUNG,android,4 GB,"2.3, 1.7 GHz",128 GB,6.5 Inches,"GSM, LTE, WCDMA, UMTS",,,"Black, Blue"
"SAMSUNG Galaxy A14 5G (64GB, 4GB) 6.6"" 90Hz, Octa-Core(7nm), 50MP Triple Camera, US 5G / Global 4G Volte (GSM Unlocked for T-Mobile, Metro, AT&T, Global No Logo) A146U (w/ 256GB SD, Black)",https://m.media-amazon.com/images/I/61G9RdA0EQL._AC_UL320_.jpg,4.1 out of 5 stars,159.99,4,/SAMSUNG-Galaxy-Octa-Core-Unlocked-T-Mobile/dp/B0CCK5W59M/ref=sr_1_740?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-740,,SAMSUNG,Android 11.0,,,64 GB,,5G,Galaxy A14 5G,,
Moto G stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,https://m.media-amazon.com/images/I/61qM8jENnfL._AC_UL320_.jpg,4.4 out of 5 stars,149.99,"6,648",/Stylus-Unlocked-Motorola-Camera-Indigo/dp/B084CVPLLC/ref=sr_1_741?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-741,$179.99,Motorola,Android,4 GB,2.4 GHz,128 GB,6.4 Inches,"2G, 3G, 4G, LTE, GSM, CDMA",Moto G Stylus,,"Blue, Indigo, White"
"Ulefone Armor 21 Android 13 Unlocked Rugged Phone, 122dB Loudest Speaker, MTK G99 16GB + 256GB Outdoor Rugged Smartphone,64MP Main Cam + 24MP Night Vision Cam, 6.58"" FHD+, 9600mAh, IP68 Dual SIM",https://m.media-amazon.com/images/I/71Qg1Gh4ctL._AC_UL320_.jpg,4.0 out of 5 stars,299.99,107,/Ulefone-Android-Unlocked-Loudest-Smartphone/dp/B0C5CKFTLC/ref=sr_1_742?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-742,,Ulefone,Android 13.0,16 GB,,256 GB,6.58 Inches,4G,Ulefone Armor 21 16GB+256GB-Black,,
"Unlocked Smartphone, 6.3 inch HD Display, Android10.0, Dual SIM, Dual Cameras, 1GB RAM+16GB ROM (Expandable to 128GB), Support: WiFi, Bluetooth, GPS 3G Mobile Phones (Black)",https://m.media-amazon.com/images/I/61oOFzDIvRL._AC_UL320_.jpg,2.9 out of 5 stars,65.99,153,/PrzSay-Unlocked-Smartphone-Android10-0-Expandable/dp/B0CNT2N5LK/ref=sr_1_743?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-743,,PrzSay,Android 10.0,,,128 GB,6.3 Inches,3G,PrzSay i15Pro Max,,"Black, Blue, Golden, Green, Purple, White"
"SAMSUNG Galaxy A15 5G (128GB, 4GB) 6.5"" AMOLED, 4G Volte (Fully Unlocked for AT&T, T-Mobile, Verizon, Global No Logo) A156U (w/ 128GB SD Card, Blue Black) (Renewed)",https://m.media-amazon.com/images/I/51mRnMaCDpL._AC_UL320_.jpg,3.8 out of 5 stars,129.99,13,/SAMSUNG-Galaxy-A15-Unlocked-T-Mobile/dp/B0CY5QFVBV/ref=sr_1_744?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-744,$232.29,SAMSUNG,Android 14,4 GB,1.6 GHz,128 GB,6.5 Inches,,A15,,
SAMSUNG S22 PLUS 128GB BLACK ATT (Renewed),https://m.media-amazon.com/images/I/61R5xNY4ZWL._AC_UL320_.jpg,4.6 out of 5 stars,255.00,13,/SAMSUNG-S22-PLUS-128GB-BLACK/dp/B0BRBRLVV9/ref=sr_1_745?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-745,$284.05,SAMSUNG,Android,,,128 GB,6.6 Inches,5G,Samsung Galaxy S22+ Plus 5G,,
"Xiaomi Redmi Note 12 4G LTE (128GB + 4GB) Global Unlocked 6.67"" 50MP Triple (ONLY T-Moble/Tello/Mint USA Market) + (w/ 33W Fast Car Dual Charger Bundle) (Mint Green Global + 33W Car Charger)",https://m.media-amazon.com/images/I/61brUtKPajL._AC_UL320_.jpg,4.5 out of 5 stars,154.99,"1,137",/Xiaomi-Global-Unlocked-T-Moble-Charger/dp/B0BZHYZ6ND/ref=sr_1_746?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-746,,Xiaomi,"MIUI 14, Android 12",4 GB,,128 GB,6.67 Inches,4G,Redmi Note 12 4g lte,,"Ice Blue, Mint Green Global ROM, Onyx Gray Global"
